[hunt] up to 1.007e+12 | primes=7549038 t1=4246950 t2=1803791 residual=1498297 | 21.6s
[hunt] up to 1.007e+12 | primes=7586917 t1=4268263 t2=1812897 residual=1505757 | 21.7s
[hunt] up to 1.007e+12 | primes=7625052 t1=4289695 t2=1822045 residual=1513312 | 21.8s
[hunt] up to 1.007e+12 | primes=7663215 t1=4311337 t2=1831067 residual=1520811 | 21.9s
[hunt] up to 1.007e+12 | primes=7700850 t1=4332435 t2=1840120 residual=1528295 | 22.1s
[hunt] up to 1.007e+12 | primes=7738683 t1=4353836 t2=1849182 residual=1535665 | 22.2s
[hunt] up to 1.007e+12 | primes=7776406 t1=4375244 t2=1858013 residual=1543149 | 22.3s
[hunt] up to 1.007e+12 | primes=7814156 t1=4396272 t2=1867135 residual=1550749 | 22.4s
[hunt] up to 1.007e+12 | primes=7852187 t1=4417779 t2=1876149 residual=1558259 | 22.5s
[hunt] up to 1.007e+12 | primes=7889925 t1=4438888 t2=1885212 residual=1565825 | 22.6s
[hunt] up to 1.007e+12 | primes=7927812 t1=4460329 t2=1894205 residual=1573278 | 22.7s
[hunt] up to 1.007e+12 | primes=7966064 t1=4481839 t2=1903298 residual=1580927 | 22.8s
[hunt] up to 1.007e+12 | primes=8003807 t1=4502978 t2=1912348 residual=1588481 | 22.9s
[hunt] up to 1.007e+12 | primes=8041964 t1=4524432 t2=1921497 residual=1596035 | 23.0s
[hunt] up to 1.007e+12 | primes=8079857 t1=4545570 t2=1930730 residual=1603557 | 23.1s
[hunt] up to 1.007e+12 | primes=8117778 t1=4566898 t2=1939711 residual=1611169 | 23.3s
[hunt] up to 1.007e+12 | primes=8155717 t1=4588234 t2=1948783 residual=1618700 | 23.4s
[hunt] up to 1.007e+12 | primes=8193718 t1=4609604 t2=1957999 residual=1626115 | 23.5s
[hunt] up to 1.007e+12 | primes=8231398 t1=4630794 t2=1967027 residual=1633577 | 23.6s
[hunt] up to 1.007e+12 | primes=8269445 t1=4652302 t2=1976059 residual=1641084 | 23.7s
[hunt] up to 1.007e+12 | primes=8307481 t1=4673713 t2=1985125 residual=1648643 | 23.8s
[hunt] up to 1.007e+12 | primes=8345343 t1=4695008 t2=1994178 residual=1656157 | 23.9s
[hunt] up to 1.007e+12 | primes=8383202 t1=4716427 t2=2003198 residual=1663577 | 24.0s
[hunt] up to 1.007e+12 | primes=8421118 t1=4737715 t2=2012280 residual=1671123 | 24.1s
[hunt] up to 1.007e+12 | primes=8459105 t1=4759175 t2=2021268 residual=1678662 | 24.2s
[hunt] up to 1.008e+12 | primes=8497090 t1=4780576 t2=2030213 residual=1686301 | 24.3s
[hunt] up to 1.008e+12 | primes=8534885 t1=4801665 t2=2039290 residual=1693930 | 24.5s
[hunt] up to 1.008e+12 | primes=8572747 t1=4822942 t2=2048390 residual=1701415 | 24.6s
[hunt] up to 1.008e+12 | primes=8610658 t1=4844294 t2=2057437 residual=1708927 | 24.7s
[hunt] up to 1.008e+12 | primes=8648614 t1=4865471 t2=2066659 residual=1716484 | 24.8s
[hunt] up to 1.008e+12 | primes=8686789 t1=4886935 t2=2075850 residual=1724004 | 24.9s
[hunt] up to 1.008e+12 | primes=8724841 t1=4908350 t2=2084870 residual=1731621 | 25.0s
[hunt] up to 1.008e+12 | primes=8762919 t1=4929686 t2=2093940 residual=1739293 | 25.1s
[hunt] up to 1.008e+12 | primes=8800671 t1=4951006 t2=2103050 residual=1746615 | 25.2s
[hunt] up to 1.008e+12 | primes=8838710 t1=4972481 t2=2112164 residual=1754065 | 25.3s
[hunt] up to 1.008e+12 | primes=8876578 t1=4993809 t2=2121203 residual=1761566 | 25.4s
[hunt] up to 1.008e+12 | primes=8914671 t1=5015280 t2=2130331 residual=1769060 | 25.5s
[hunt] up to 1.008e+12 | primes=8952590 t1=5036598 t2=2139452 residual=1776540 | 25.6s
[hunt] up to 1.008e+12 | primes=8990492 t1=5057976 t2=2148335 residual=1784181 | 25.7s
[hunt] up to 1.008e+12 | primes=9028390 t1=5079277 t2=2157452 residual=1791661 | 25.8s
[hunt] up to 1.008e+12 | primes=9066345 t1=5100723 t2=2166524 residual=1799098 | 25.9s
[hunt] up to 1.008e+12 | primes=9104335 t1=5122032 t2=2175615 residual=1806688 | 26.0s
[hunt] up to 1.008e+12 | primes=9142311 t1=5143266 t2=2184835 residual=1814210 | 26.1s
[hunt] up to 1.008e+12 | primes=9180306 t1=5164613 t2=2193948 residual=1821745 | 26.3s
[hunt] up to 1.008e+12 | primes=9218003 t1=5185791 t2=2202984 residual=1829228 | 26.4s
[hunt] up to 1.008e+12 | primes=9255943 t1=5207096 t2=2212071 residual=1836776 | 26.5s
[hunt] up to 1.008e+12 | primes=9293887 t1=5228422 t2=2221178 residual=1844287 | 26.6s
[hunt] up to 1.008e+12 | primes=9331768 t1=5249675 t2=2230216 residual=1851877 | 26.7s
[hunt] up to 1.008e+12 | primes=9369498 t1=5270941 t2=2239193 residual=1859364 | 26.8s
[hunt] up to 1.008e+12 | primes=9407516 t1=5292301 t2=2248383 residual=1866832 | 26.9s
[hunt] up to 1.008e+12 | primes=9445383 t1=5313594 t2=2257381 residual=1874408 | 27.0s
[hunt] up to 1.008e+12 | primes=9483323 t1=5335010 t2=2266345 residual=1881968 | 27.1s
[hunt] up to 1.008e+12 | primes=9521529 t1=5356340 t2=2275566 residual=1889623 | 27.2s
[hunt] up to 1.008e+12 | primes=9559318 t1=5377669 t2=2284429 residual=1897220 | 27.3s
[hunt] up to 1.008e+12 | primes=9597158 t1=5399018 t2=2293501 residual=1904639 | 27.4s
[hunt] up to 1.009e+12 | primes=9634911 t1=5420077 t2=2302566 residual=1912268 | 27.5s
[hunt] up to 1.009e+12 | primes=9672974 t1=5441511 t2=2311683 residual=1919780 | 27.6s
[hunt] up to 1.009e+12 | primes=9711046 t1=5462941 t2=2320651 residual=1927454 | 27.7s
[hunt] up to 1.009e+12 | primes=9749035 t1=5484350 t2=2329734 residual=1934951 | 27.8s
[hunt] up to 1.009e+12 | primes=9787057 t1=5505667 t2=2338973 residual=1942417 | 27.9s
[hunt] up to 1.009e+12 | primes=9824866 t1=5527051 t2=2347934 residual=1949881 | 28.0s
[hunt] up to 1.009e+12 | primes=9862598 t1=5548399 t2=2356793 residual=1957406 | 28.1s
