[hunt] up to 1.000e+16 | primes=5008672 t1=2863421 t2=1197114 residual=948137 | 15.5s
[hunt] up to 1.000e+16 | primes=5037189 t1=2879681 t2=1203912 residual=953596 | 15.6s
[hunt] up to 1.000e+16 | primes=5065850 t1=2896210 t2=1210743 residual=958897 | 15.7s
[hunt] up to 1.000e+16 | primes=5094435 t1=2912667 t2=1217515 residual=964253 | 15.8s
[hunt] up to 1.000e+16 | primes=5122834 t1=2928826 t2=1224259 residual=969749 | 15.9s
[hunt] up to 1.000e+16 | primes=5151129 t1=2945055 t2=1231052 residual=975022 | 16.0s
[hunt] up to 1.000e+16 | primes=5179416 t1=2961133 t2=1237818 residual=980465 | 16.1s
[hunt] up to 1.000e+16 | primes=5207836 t1=2977411 t2=1244605 residual=985820 | 16.1s
[hunt] up to 1.000e+16 | primes=5236189 t1=2993553 t2=1251519 residual=991117 | 16.2s
[hunt] up to 1.000e+16 | primes=5264715 t1=3009858 t2=1258514 residual=996343 | 16.3s
[hunt] up to 1.000e+16 | primes=5293147 t1=3026042 t2=1265309 residual=1001796 | 16.4s
[hunt] up to 1.000e+16 | primes=5321972 t1=3042582 t2=1272159 residual=1007231 | 16.5s
[hunt] up to 1.000e+16 | primes=5350394 t1=3058724 t2=1279114 residual=1012556 | 16.6s
[hunt] up to 1.000e+16 | primes=5378961 t1=3074958 t2=1285936 residual=1018067 | 16.7s
[hunt] up to 1.000e+16 | primes=5407574 t1=3091271 t2=1292752 residual=1023551 | 16.8s
[hunt] up to 1.000e+16 | primes=5436033 t1=3107533 t2=1299544 residual=1028956 | 16.9s
[hunt] up to 1.000e+16 | primes=5464537 t1=3123873 t2=1306290 residual=1034374 | 16.9s
[hunt] up to 1.000e+16 | primes=5493064 t1=3140249 t2=1313050 residual=1039765 | 17.0s
[hunt] up to 1.000e+16 | primes=5521483 t1=3156441 t2=1319873 residual=1045169 | 17.1s
[hunt] up to 1.000e+16 | primes=5550321 t1=3173000 t2=1326703 residual=1050618 | 17.2s
[hunt] up to 1.000e+16 | primes=5578821 t1=3189304 t2=1333460 residual=1056057 | 17.3s
[hunt] up to 1.000e+16 | primes=5607166 t1=3205517 t2=1340265 residual=1061384 | 17.4s
[hunt] up to 1.000e+16 | primes=5635551 t1=3221931 t2=1346806 residual=1066814 | 17.5s
[hunt] up to 1.000e+16 | primes=5663879 t1=3238198 t2=1353612 residual=1072069 | 17.6s
[hunt] up to 1.000e+16 | primes=5692632 t1=3254606 t2=1360539 residual=1077487 | 17.7s
[hunt] up to 1.000e+16 | primes=5721179 t1=3271022 t2=1367289 residual=1082868 | 17.7s
[hunt] up to 1.000e+16 | primes=5749538 t1=3287260 t2=1374052 residual=1088226 | 17.8s
[hunt] up to 1.000e+16 | primes=5777922 t1=3303530 t2=1380729 residual=1093663 | 17.9s
[hunt] up to 1.000e+16 | primes=5806425 t1=3319790 t2=1387526 residual=1099109 | 18.0s
[hunt] up to 1.000e+16 | primes=5834808 t1=3336120 t2=1394233 residual=1104455 | 18.1s
[hunt] up to 1.000e+16 | primes=5863199 t1=3352386 t2=1400877 residual=1109936 | 18.2s
[hunt] up to 1.000e+16 | primes=5891604 t1=3368581 t2=1407731 residual=1115292 | 18.3s
[hunt] up to 1.000e+16 | primes=5920050 t1=3384801 t2=1414570 residual=1120679 | 18.4s
[hunt] up to 1.000e+16 | primes=5948592 t1=3401111 t2=1421337 residual=1126144 | 18.4s
[hunt] up to 1.000e+16 | primes=5976790 t1=3417348 t2=1427976 residual=1131466 | 18.5s
[hunt] up to 1.000e+16 | primes=6005035 t1=3433453 t2=1434763 residual=1136819 | 18.6s
[hunt] up to 1.000e+16 | primes=6033201 t1=3449599 t2=1441410 residual=1142192 | 18.7s
[hunt] up to 1.000e+16 | primes=6061495 t1=3465957 t2=1448094 residual=1147444 | 18.8s
[hunt] up to 1.000e+16 | primes=6089854 t1=3482225 t2=1454815 residual=1152814 | 18.9s
[hunt] up to 1.000e+16 | primes=6118689 t1=3498807 t2=1461660 residual=1158222 | 19.0s
[hunt] up to 1.000e+16 | primes=6147096 t1=3515067 t2=1468365 residual=1163664 | 19.1s
[hunt] up to 1.000e+16 | primes=6175415 t1=3531374 t2=1475088 residual=1168953 | 19.1s
[hunt] up to 1.000e+16 | primes=6203917 t1=3547719 t2=1481782 residual=1174416 | 19.2s
[hunt] up to 1.000e+16 | primes=6232407 t1=3563864 t2=1488739 residual=1179804 | 19.3s
[hunt] up to 1.000e+16 | primes=6260992 t1=3580141 t2=1495628 residual=1185223 | 19.4s
[hunt] up to 1.000e+16 | primes=6289538 t1=3596482 t2=1502347 residual=1190709 | 19.5s
[hunt] up to 1.000e+16 | primes=6318050 t1=3612924 t2=1508956 residual=1196170 | 19.6s
[hunt] up to 1.000e+16 | primes=6346718 t1=3629378 t2=1515648 residual=1201692 | 19.7s
[hunt] up to 1.000e+16 | primes=6375060 t1=3645681 t2=1522459 residual=1206920 | 19.8s
[hunt] up to 1.000e+16 | primes=6403742 t1=3662035 t2=1529331 residual=1212376 | 19.8s
[hunt] up to 1.000e+16 | primes=6432273 t1=3678270 t2=1536110 residual=1217893 | 19.9s
[hunt] up to 1.000e+16 | primes=6460839 t1=3694626 t2=1542930 residual=1223283 | 20.0s
